POZO,FECHA,AGUA_INYECTADA,PIA
well_11,11/11/2018,2257,1088
well_11,12/11/2018,1047,538
well_11,13/11/2018,2273,1106
well_11,14/11/2018,2296,1065
well_11,15/11/2018,1845,881
well_11,16/11/2018,2076,1018
well_11,17/11/2018,1689,856
well_11,18/11/2018,2235,1113
well_11,19/11/2018,1639,834
well_11,20/11/2018,2188,1090
well_11,21/11/2018,2248,1139
well_11,22/11/2018,2184,1121
well_11,23/11/2018,2193,1120
well_11,24/11/2018,1990,1030
well_11,25/11/2018,2140,1190
well_11,26/11/2018,2159,1212
well_11,27/11/2018,2154,1199
well_11,28/11/2018,1642,908
well_11,29/11/2018,2122,1204
well_11,30/11/2018,1440,816
well_11,1/12/2018,1429,1166
well_11,2/12/2018,2132,1205
well_11,3/12/2018,2126,1200
well_11,4/12/2018,855,475
well_11,5/12/2018,2121,1186
well_11,6/12/2018,2094,1141
well_11,7/12/2018,2148,1161
well_11,8/12/2018,2154,1184
well_11,9/12/2018,2146,1187
well_11,10/12/2018,2147,1209
well_11,11/12/2018,2121,1205
well_11,12/12/2018,2130,1216
well_11,13/12/2018,2122,1244
well_11,14/12/2018,2143,1231
well_11,15/12/2018,2134,1235
well_11,16/12/2018,2129,1229
well_11,17/12/2018,2150,1239
well_11,18/12/2018,2141,1220
well_11,19/12/2018,1071,446
well_11,20/12/2018,1888,1155
well_11,21/12/2018,2104,1155
well_11,22/12/2018,2097,1183
well_11,23/12/2018,2104,1172
well_11,24/12/2018,2097,1170
well_11,25/12/2018,2098,1178
well_11,26/12/2018,2070,1183
well_11,27/12/2018,2078,1227
well_11,28/12/2018,2087,1222
well_11,29/12/2018,2129,1235
well_11,30/12/2018,2086,1234
well_11,31/12/2018,1913,1263
well_11,1/01/2019,1950,1266
well_11,2/01/2019,1902,1223
well_11,3/01/2019,1697,885
well_11,4/01/2019,2103,1262
well_11,5/01/2019,2083,1295
well_11,6/01/2019,2056,1295
well_11,7/01/2019,2081,1304
well_11,8/01/2019,2075,1305
well_11,9/01/2019,2097,1305
well_11,10/01/2019,1836,1025
well_11,11/01/2019,2154,1288
well_11,12/01/2019,2150,1292
well_11,13/01/2019,2148,1295
well_11,14/01/2019,2132,1298
well_11,15/01/2019,1927,1176
well_11,16/01/2019,2088,1245
well_11,17/01/2019,1359,782
well_11,18/01/2019,2189,1395
well_11,19/01/2019,2228,1457
well_11,20/01/2019,2081,1386
well_11,21/01/2019,2186,1339
well_11,22/01/2019,2140,1428
well_11,23/01/2019,2131,1280
well_11,24/01/2019,2207,1349
well_11,25/01/2019,2118,1273
well_11,26/01/2019,2029,1209
well_11,27/01/2019,1329,798
well_11,28/01/2019,1380,817
well_11,29/01/2019,1641,926
well_11,30/01/2019,2079,1171
well_11,31/01/2019,1939,1097
well_11,1/02/2019,557,354
well_11,2/02/2019,324,200
well_11,3/02/2019,37,27
well_11,4/02/2019,1167,664
well_11,5/02/2019,2179,1240
well_11,6/02/2019,1099,630
well_11,7/02/2019,172,96
well_11,8/02/2019,2195,1204
well_11,9/02/2019,2370,1338
well_11,10/02/2019,2397,1334
well_11,11/02/2019,2375,1302
well_11,12/02/2019,2169,1171
well_11,13/02/2019,1374,749
well_11,14/02/2019,2245,1186
well_11,15/02/2019,2233,1428
well_11,16/02/2019,2233,1438
well_11,17/02/2019,2227,1207
well_11,18/02/2019,2227,1212
well_11,19/02/2019,2217,1216
well_11,20/02/2019,2217,1217
well_11,21/02/2019,2205,1222
well_11,22/02/2019,1305,847
well_11,23/02/2019,1819,1168
well_11,24/02/2019,1013,650
well_11,25/02/2019,1993,1115
well_11,26/02/2019,2129,1154
well_11,27/02/2019,2056,1119
well_11,28/02/2019,1796,1002
well_11,1/03/2019,1190,715
well_11,2/03/2019,402,242
well_11,3/03/2019,2176,1290
well_11,4/03/2019,2155,1299
well_11,5/03/2019,2141,1302
well_11,6/03/2019,2156,1318
well_11,7/03/2019,2246,1311
well_11,8/03/2019,2150,1236
well_11,9/03/2019,2230,1278
well_11,10/03/2019,2190,1270
well_11,11/03/2019,2190,1268
well_11,12/03/2019,861,502
well_11,13/03/2019,510,436
well_11,14/03/2019,1029,848
well_11,15/03/2019,745,553
well_11,16/03/2019,98,0
well_11,17/03/2019,858,638
well_11,18/03/2019,1624,1126
well_11,19/03/2019,1625,1158
well_11,20/03/2019,1898,1531
well_11,21/03/2019,1890,1575
well_11,22/03/2019,297,246
well_11,23/03/2019,909,692
well_11,24/03/2019,1801,1415
well_11,25/03/2019,1801,1547
well_11,26/03/2019,1790,1534
well_11,27/03/2019,1789,1546
well_11,28/03/2019,1693,1739
well_11,29/03/2019,1669,1635
well_11,30/03/2019,1707,1761
well_11,31/03/2019,1523,1413
well_11,1/04/2019,1807,1527
well_11,2/04/2019,1794,1530
well_11,3/04/2019,1788,1531
well_11,4/04/2019,1775,1532
well_11,5/04/2019,1779,1528
well_11,6/04/2019,1766,1510
well_11,7/04/2019,1754,1514
well_11,8/04/2019,1772,1459
well_11,9/04/2019,1726,1454
well_11,10/04/2019,1753,1458
well_11,11/04/2019,295,244
